Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
B??,,,Snímače,"objekt, který získává informace a prezentuje je ve výstupu",,Sensing object,object for picking up information and providing a representation,,,,,,,,,,Snímače
,BA?,,Snímač elektrického potenciálu,snímač pro elektrický potenciál,,Electric potential sensing object,sensing object for electric potential,,,,,,,,,,Snímač elektrického potenciálu
,,BAA,Transformátor potenciálu,snímač elektrického potenciálu s výstupem v booleovských hodnotách,transformátor potenciálu,Voltage transformer,"electric potential sensing object, with Boolean output",,,,,,,,,,transformátor potenciálu
,,BAB,Střídač potenciálu,snímač elektrického potenciálu s varabilním výstupem,střídač potenciálu,Voltage relay,"electric potential sensing object, with scalar output",,,,,,,,,,střídač potenciálu
,BB?,,Snímač odporu,snímač určený pro snímání odporu,,Resistivity Sensing Object,sensing object for resistivity or conductivity,,,,,,,,,,Snímač odporu
,,BBA,Detektor elektrického odporu,snímač odporu elektrické energie s variabilním výstupem,"ohmmetr, wheatstoneův můstek",Electric resistivity sensor,"resistivity sensing object for electric current flow, with scalar output",,,,,,,,,,detektor elektrického odporu
,,BBB,Senzor elektrického odporu,snímač odporu elektrické energie s výstupem v booleovských hodnotách,senzor elektrického odporu,Electric resistivity detector,"resistivity sensing object for electric current flow, with Boolean output",,,,,,,,,,senzor elektrického odporu
,,BBC,Senzor temického odporu,snímač termického odporu s variabilním výstupem,senzor termického odporu,Thermal resistivity sensor,"resistivity sensing object for thermal current flow, with scalar output",,,,,,,,,,senzor temického odporu
,,BBD,Detektor termického odporu,snímač termického odporu s výstupem v booleovských hodnotách,detektor termického odporu,Thermal resistivity detector,"resistivity sensing object for thermal current flow, with Boolean output",,,,,,,,,,detektor termického odporu
,BC?,,Snímač elektrického proudu,snímač určený k měření elektrického proudu,,Electric current sensing object,sensing object for electric current,,,,,,,,,,snímač elektrického proudu
,,BCA,Transformátor proudu,snímač elektrickho proudu s výstupem v booleovských hodnotách,převodník,Current transformer,"electric current sensing object, with scalar output",,,,,,,,,,transformátor proudu
,,BCB,Střídač proudu,snímač elektrického proudu s variabilním výstupem,"kolejové obvody, styk kolejnice, ochrana proti přetížení",Current relay,"electric current sensing object, with Boolean output",,,,,,,,,,střídač proudu
,BD?,,Snímače hustoty,snímač určený k měření hustoty,,Density sensing object,sensing object for density,,,,,,,,,,snímače hustoty
,,BDA,Detektor hustoty,snímač hustoty s výstupem v booleovských hodnotách,detektor hustoty,Density transmitter,"density sensing object, with Boolean output",,,,,,,,,,detektor hustoty
,,BDB,Sensor hustoty,snímač hustoty s varabilním výstupem,senzor hustoty,Density switch,"density sensing object, with scalar output",,,,,,,,,,sensor hustoty
,BE?,,Snímače pole,snímač určený k měření pole,,Field sensing object,sensing object for field,,,,,,,,,,snímače pole
,,BEA,Detektor elektrického pole,snímač pole určený k měření elektrického pole s výstupem v booleovských hodnotách,detektor elektrického pole,Electric field detector,"field sensing object for electric field, with scalar output",,,,,,,,,,detektor elektrického pole
,,BEB,Senzor elektrického pole,snímač pole určený k měření elektrického pole s variabilním výstupem,senzor elektrického pole,Electric field sensor,"field sensing object for electric field, with Boolean output",,,,,,,,,,senzor elektrického pole
,,BEC,Detektor magnetického pole,snímač pole určený k měření magnetického pole s výstupem v booleovských hodnotách,"indukční snímač, počítač náprav, detektor kovu, jazýčkové relé",Magnetic field detector,"field sensing object for magnetic field, with scalar output",,,,,,,,,,detektor magnetického pole
,,BED,Senzor magnetického pole,snímač pole určený k měření magnetického pole s variabilním výstupem,indukční senzor,Magnetic field sensor,"field sensing object for magnetic field, with Boolean output",,,,,,,,,,senzor magnetického pole
,BF?,,Snímač průtoku,snímač určený k měření průtoku,,Flow sensing object,sensing object for flow,,,,,,,,,,snímač průtoku
,,BFA,Detektor průtoku,snímač průtoku s výstupem v booleovských hodnotách,detektor průtoku,Flow detector,"flow sensing object, with scalar output",,,,,,,,,,detektor průtoku
,,BFB,Senzor průtoku,snímač průtoku s variabilním výstupem,"průtokoměr, vodoměr, kapalinové měřidlo",Flow sensor,"flow sensing object, with Boolean output",,,,,,,,,,senzor průtoku
,BG?,,Snímač fyzických rozměrů,snímač určený k měření prostorového rozměru a / nebo polohy,,Physical dimension sensing object,sensing object of spatial dimensions and/or position,,,,,,,,,,snímač fyzických rozměrů
,,BGA,Detektor polohy,snímač fyzických rozměrů polohy s výstupem v booleovských hodnotách ,"fotobuňka, koncový spínač, magnetický kontakt, indikátor směru pohybu",Position transmitter,"physical dimension sensing object of position, with scalar output",,,,,,,,,,detektor polohy
,,BGB,Senzor polohy,snímač fyzických rozměrů polohy s variabilním výstupem,snímač polohy,Position switch,"physical dimension sensing object of position, with Boolean output",,,,,,,,,,senzor polohy
,,BGC,Detektor délky,snímač fyzických rozměrů délky s výstupem v booleovských hodnotách,detektor délky,Distance transmitter,"physical dimension sensing object of length, with scalar output",,,,,,,,,,detektor délky
,,BGD,Senzor délky,snímač fyzických rozměrů délky s variabilním výstupem,senzor délky,Distance switch,"physical dimension sensing object of length, with Boolean output",,,,,,,,,,senzor délky
,,BGE,Detektor úhlu,snímač fyzických rozměrů úhlu s výstupem v booleovských hodnotách,detektor úhlu,Angle transmitter,"physical dimension sensing object of angle of direction, with scalar output",,,,,,,,,,detektor úhlu
,,BGF,Senzor úhlu,snímač fyzických rozměrů úhlu nebo směru s variabilním výstupem,"indikátor směru větru, větrný rukáv",Angle xwitch,"physical dimension sensing object of angle or direction, with Boolean output",,,,,,,,,,senzor úhlu
,,BGG,Skener objektů,snímač fyzických rozměrů fyzických objektů,"3d-skener, skener, laserový skener",Object Scanner,physical dimension sensing object of physical object,,,,,,,,,,skener objektů
,BH?,,Snímač energie,snímač určený k měření energie,,Energy sensing object,sensing object for energy,,,,,,,,,,snímač energie
,,BHA,Snímač průtoku energie,snímač energie měřící průtok se známou energetickou hustotou,plynoměr,Flow energy meter,energy sensing object of flow with defined energy density,,,,,,,,,,snímač průtoku energie
,,BHB,Snímač tepelné energie,snímač energie měřící průtok se známou tepelnou kapacitou,snímač tepelné energie,Thermal energy meter,energy sensing object of thermal flow with defined heat capacity,,,,,,,,,,snímač tepelné energie
,,BHC,Elektroměr,snímač energie měřící průtok elektrické energie,elektroměr,Electric energy meter,energy sensing object of electricity flow,,,,,,,,,,elektroměr
,BJ?,,Snímač výkonu,snímač určený k měření výkonu,,Power sensing object,sensing object for power,,,,,,,,,,snímač výkonu
,,BJA,Detektor výkonu,snímač výkonu s výstupem v booleovských hodnotách,detektor výkonu,Power meter,"power sensing object, with scalar output",,,,,,,,,,detektor výkonu
,,BJB,Senzor výkonu,snímač výkonu s varabilním výstupem,siloměr,Power Limit Switch,"power sensing object, with boolean output",,,,,,,,,,senzor výkonu
,BK?,,Snímač času,snímač určený k měření času,,Time sensing object,sensing object for time,,,,,,,,,,snímač času
,,BKA,Spínací hodiny,snímač času s výstupem v booleovských hodnotách,"timer, spínací hodiny",Time switch,"time sensing object, with scalar output",,,,,,,,,,spínací hodiny
,,BKB,Časový senzor,snímač času s vyriabilním výstupem,"hodiny, stopky",Timer sensor,"time sensing object, with Boolean output",,,,,,,,,,časový senzor
,BL?,,Snímače úrovně,snímač určený k měření úrovně,,Level sensing object,sensing object for level,,,,,,,,,,snímače úrovně
,,BLA,Detektor úrovně,snímač úrovně s výstupem v booleovských hodnotách,detektor úrovně,Level transmitter,"level sensing object, with scalar output",,,,,,,,,,detektor úrovně
,,BLB,Senzor úrovně,snímač úrovně s variabilním výstupem,"sonda pro měření hladiny podzemních vod, ukazatel hladiny, výškoměr",Level switch,"level sensing object, with Boolean output",,,,,,,,,,senzor úrovně
,BM?,,Snímače vlhkosti,snímač určený k měření vlhkosti,,Humidity sensing object,sensing object for humidity,,,,,,,,,,snímače vlhkosti
,,BMA,Detektor vlhkosti,snímač vlhkosti s výstupem v booleovských hodnotách,"detektor sněhu, hlídač hlvkosti",Humidity transmitter,"humidity sensing object,t with scalar output",,,,,,,,,,detektor vlhkosti
,,BMB,Senzor vlhkosti,snímač vlhkosti s variabilním výstupem,"vlhkoměr, měřič vzdušné vlhkosti",Humidity switch,"humidity sensing object, with Boolean output",,,,,,,,,,senzor vlhkosti
,BP?,,Snímač tlaku,snímač určený k měření tlaku,,Pressure sensing object,sensing object for pressure,,,,,,,,,,snímač tlaku
,,BPA,Detektor tlaku,snímač tlaku pro naměřený nebo absolutní tlak s výstupem v booleovských hodnotách,"hlídač tlaku, detektor poškození kol, nášlapný detektor",Absolute pressure transmitter,"pressure sensing object utilizing one port for absolute pressure sensing, with scalar output",,,,,,,,,,detektor tlaku
,,BPB,Senzor tlaku,snímač tlaku pro naměřený nebo absolutní tlak s variabilním výstupem,"manometr, tlakové čidlo, měřič tlaku, barometr",Absolute Pressure Switch,"pressure sensing object utilizing one port for absolute pressure sensing, with boolean output",,,,,,,,,,senzor tlaku
,,BPC,Detektor rozdílu tlaků,snímač tlaku pro měření tlakového rozdílu s výstupem v booleovských hodnotách,detektor rozdílů tlaku,Differential pressure transmitter,"pressure sensing object utilizing two ports for differential pressure sensing, with scalar output",,,,,,,,,,detektor rozdílu tlaků
,,BPD,Senzor rozdílu tlaků,snímač tlaku pro měření tlakového rozdílu s variabilním výstupem,senzor rozdílu tlaku,Differential pressure switch,"pressure sensing object utilizing two ports for differential pressure sensing, with Boolean output",,,,,,,,,,senzor rozdílu tlaků
,BQ?,,Snímač koncentrace,snímač určený k měření koncentrace látek,,Concentration sensing object,sensing object for substance concentration,,,,,,,,,,snímač koncentrace
,,BQA,Detektor plynů,snímač koncentrace plynu s výstupem v booleovských hodnotách,detektor plynu,Gas sensor,"concentration sensing object of a gas, with scalar output",,,,,,,,,,detektor plynů
,,BQB,Plynový senzor,snímač koncentrace plynu s variabilním výstupem,snímač CO,Gas detector,"concentration sensing object of a gas, with Boolean output",,,,,,,,,,plynový senzor
,,BQC,Detektor kapalin,snímač koncentrace kapaliny s výstupem v booleovských hodnotách,"detektor mlhy, detektor viditelnosti",Liquid sensor,"concentration sensing object liquid with, scalar output",,,,,,,,,,detektor kapalin
,,BQD,Senzor kapalin,snímač koncentrace kapaliny s variabilním výstupem,"snímač mlhy, průhledové čidlo",Liquid detector,"concentration sensing object of liquid, with Boolean output",,,,,,,,,,senzor kapalin
,,BQE,Detektor pevných látek,snímač koncentrace pevných látek s výstupem v booleovských hodnotách,"hlásič kouře, detektor zákalu, hlásič požáru",Solid matter sensor,"concentration sensing object of solid matter, with scalar output",,,,,,,,,,detektor pevných látek
,,BQF,Senzor pevných látek,snímač koncentrace pevných látek s variabilním výstupem,"emise prachu, měřič zákalu",Solid matter detector,"concentration sensing object of solid matter, with Boolean output",,,,,,,,,,senzor pevných látek
,BR?,,Snímač záření,snímač určený k měření záření,,Radiation sensing object,sensing object for radiation,,,,,,,,,,snímač záření
,,BRA,Světelný senzor,snímač záření pro viditelné elektromagnetické vlnění s variabilním výstupem,"luxmetr, senzor intenzity světla, senzor svítivosti",Light sensor,"radiation sensing object of visible electromagnetic waves, with scalar output",,,,,,,,,,světelný senzor
,,BRB,Detektor světla,snímač záření pro viditelné elektromagnetické vlnění s výstupem v booleovských hodnotách,"detektor světelného oblouku, detektor plamene, fotobuňka",Light detector,"radiation sensing object of visible electromagnetic waves, with Boolean output",,,,,,,,,,detektor světla
,,BRC,Senzor elektromagnetického vlnění,snímač záření pro neviditelné elektromagnetické vlnění s výstupem v booleovských hodnotách,senzor elektromagnetického vlnění,Electromagnetic wave sensor,"radiation sensing object for non-visible electromagnetic waves, with scalar output",,,,,,,,,,senzor elektromagnetického vlnění
,,BRD,Detektor elektromagnetického vlnění,snímač záření pro neviditelné elektromagentické vlnění s variabilním výstupem,"detektor rentgenového záření, detektor HF",Electromagnetic wave detector,"radiation sensing object for non-visible electromagnetic waves, with Boolean output",,,,,,,,,,detektor elektromagnetického vlnění
,,BRE,Senzor nukleárního záření,snímač záření pro nukleární částice s variabilním výstupem,"Geigerův počítač, měřič radiace, senzor radiace",Radiation counter,"radiation sensing object of nuclear particles, with scalar output",,,,,,,,,,senzor nukleárního záření
,,BRF,Detektor nukleárního záření,snímač záření pro nukleární částice s výstupem v booleovských hodnotách,detektor radiace,Radiation detector,"radiation sensing object of nuclear particles, with Boolean output",,,,,,,,,,detektor nukleárního záření
