Úroveň 1,Úroveň 2,Úroveň 3,Název (ČJ),Vysvětlení (ČJ),Příklady (ČJ),Term (EN),Explanation (EN),,,,,,,,,,
A??,,,Prostor pro přebývání lidí,prostor určený pro lidské obydlí a s ním související činnosti,,Space for human dwelling,space designed for human dwelling and related activities,,,,,,,,,,Prostor pro přebývání lidí
,AA?,,Rezidenční prostor,"prostor pro lidské obydlí, odpočinek, relaxaci, rekreaci nebo čekání",,Occupiable space,"space for human dwelling for rest, relaxation, recreation or waiting",,,,,,,,,,rezidenční prostor
,,AAA,Pokoj,rezidenční prostor pro osobní potřebu,"dětský pokoj, hotelový pokoj, ložnice, pokoj pro návštěvy, odpočívárna, noclehárna",Room,occupiable space for human dwelling,,,,,,,,,,pokoj
,,AAB,Obytný prostor,rezidenční prostor pro společné užívání,"obývací pokoj, denní pokoj, sborovna, studovna, společenská místnost",residential space,occupiable space for common use,,,,,,,,,,obytný prostor
,,AAC,Čekárna,rezidenční prostor pro čekání,"foajé, čekárna",Waiting space,occupiable space for waiting,,,,,,,,,,čekárna
,,AAD,Dvorek,rezidenční prostor venku zcela nebo částečně obklopen budovami,"altán, atrium, střešní terasa, domovní dvůr, terasa, veranda",Courtyard,occupiable space outdoors entirely or partly surrounded by buildings,,,,,,,,,,dvorek
,AB?,,Prostor pro osobní hygienu,prostor v lidském obydlí využívaný pro osobní hygienu,,Personal hygiene space,space for human dwelling for personal hygiene use,,,,,,,,,,prostor pro osobní hygienu
,,ABA,Koupelna,"prostor pro osobní hygienu umožňující osobám se umýt, případně si ulevit",koupelna,Bathroom,personal hygiene space enabling persons to wash and possibly relieve themselves,,,,,,,,,,koupelna
,,ABB,Toaleta,prostor pro osobní hygienu umožňující osobám ulevit si,"toaleta, suché WC, pisoár",Toilet,personal hygiene space enabling persons to relieve themselves,,,,,,,,,,toaleta
,,ABC,Přebalovací místnost,prostor pro osobní hygienu umožňující hygienickou péči o kojence,přebalovací místnost,Baby changing room,personal hygiene space for young children,,,,,,,,,,přebalovací místnost
,,ABD,Šatna,prostor pro osobní hygienu umožňující převlékání,"šatna, zkušební kabinka, sákristie",Changing room,personal hygiene space for changing clothes,,,,,,,,,,šatna
,,ABE,Sprcha,prostor pro osobní hygienu umožňující osobám osprchovat se,sprcha,Shower,personal hygiene space enabling persons to wash themselves,,,,,,,,,,sprcha
,,ABF,Sauna,"prostor pro osobní hygienu, ve kterém je vyvoláváno pocení",sauna,Sauna,personal hygiene space enabling persons to take a sweat-inducing bath,,,,,,,,,,sauna
,AC?,,Izolační prostor,prostor pro lidské obydlí určený k izolaci osob,,Isolation space,space for human dwelling for isolating persons,,,,,,,,,,izolační prostor
,,ACA,Kryt,izolační prostor určený k ochraně osob před nebezpečnou situací,kryt,Shelter,isolation space to protect persons from hazardous of dangerous situations,,,,,,,,,,kryt
,,ACB,Cela,izolační prostor pro separaci osoby od ostatních osob,cela,Cell,isolation space to separate persons from other persons,,,,,,,,,,cela
B??,,,Prostor pro lidskou činnost,prostor určený k produktivním aktivitám člověka,,Space for human activity,space designed for humans’ leisure and business activities,,,,,,,,,,prostor pro lidskou činnost
,,BAA,Kancelář,"pracovní prostor pro výrobu, zpracování a interpretaci informací","pracovna, kancelář, kancelářská buňka, expedice, sborovna, sákristie, sesterna",Office,"workspace for the production, processing and interpretation of information",,,,,,,,,,kancelář
,,BAB,Zasedací místnost,pracovní prostor pro jednání,"konferenční místnost, zasedací místnost, výslechová místnost",Meeting space,workspace for meetings,,,,,,,,,,zasedací místnost
,,BAC,Recepce,pracovní prostor pro příjem hostů a zboží,recepce,Reception,workspace for receiving guests and goods,,,,,,,,,,recepce
,,BAD,Prodejní plocha,pracovní prostor pro prodej zboží a služeb,"lékárna, aukční síň, prodejna, galerie",Sales area,workspace for selling goods and services,,,,,,,,,,prodejní plocha
,,BAE,Výukový prostor,pracovní prostor pro zprostředkování znalostí a kompetencí,"aula, počítačová místnost, přednášková místnost, simulátor, studio, výuková kuchyň, učebna, třída",Teaching space,workspace conveying knowledge and competencies,,,,,,,,,,výukový prostor
,,BAF,Studovna,pracovní prostor pro čtení nebo zkoušky,"čítárna, studovna",Study,workspace for reading,,,,,,,,,,studovna
,,BAG,Prádelna,pracovní prostor pro čištění oděvů,"prádelna, sušárna, dezinfekční místnost, myčka na auta, sanační místnost",Laundry,workspace for laundering clothes and linen,,,,,,,,,,prádelna
,,BAH,Ordinace,pracovní prostor pro léčbu a péči o jednotlivce,"ordinace lékaře, ordinace veterináře, fyzioterapie, operační sál, porodní sál, solárium, pokoj pro pacienty",Treatment space,workspace for health-related and other treatment and care of individuals,,,,,,,,,,ordinace
,,BAJ,Vyšetřovací místnost,pracovní prostor pro diagnostiku,"CT, rentgen, vyšetřovací místnost, pitevna",Examining space,workspace for diagnosis,,,,,,,,,,vyšetřovací místnost
,,BAK,Sledovací místnost,pracovní prostor pro sledování jednotlivců,"izolační místnost, inkubační místnost, pokoj intenzivní péče, observační místnost",Observation space,workspace for monitoring individuals,,,,,,,,,,sledovací místnost
,,BAL,Pozorovací místnost,pracovní prostor pro pozorování procesů a osob v přilehlém prostoru,"pozorovací místnost, kontrolní místnost, kontrolní stanoviště",Viewing space,workspace for observing processes and persons in adjacent space,,,,,,,,,,pozorovací místnost
,,BAM,Mediální studio,Pracovní prostor pro záznam a editaci médií,"filmové studio, nahrávací studio, střihací místnost, temná komora",Media workshop,workspace for recording and editing media,,,,,,,,,,mediální studio
,BB?,,Výrobní prostory,prostor pro lidskou činnost za účelem výroby materiálních výsledků,,Production space,space for human activity for producing a material result,,,,,,,,,,výrobní prostory
,,BBA,Kuchyně,výrobní prostory pro práci s potravinami,"pekárna, kuchyně, přípravna jídel, závodní kuchyně",Kitchen,production space for working with foodstuffs,,,,,,,,,,kuchyně
,,BBB,Dílna,výrobní prostory pro práci s materiály,"sklárna, keramička, klempířství, pila, výroba obuvi, kovárna",Materials workshop,production space for working with materials,,,,,,,,,,dílna
,,BBC,Opravna,výrobní prostory pro práci se stroji a zařízením,"autoopravna, opravna počítačů",Machine shop,production space for working with machinery and equipment,,,,,,,,,,opravna
,,BBD,Umělecká dílna,výrobní prostory pro práci na umění a řemeslu,"atelijér, fotostudio, hudební studio, obrazové studio",Studio,production space for working on art and crafts,,,,,,,,,,umělecká dílna
,,BBE,Prostor pro balení,výrobní prostory pro třídění a balení objektů,centrum příjmu pošty,Packing space,production space for sorting and packing objects,,,,,,,,,,prostor pro balení
,BC?,,Laboratoř,prostor pro lidské činnosti k provedení analýzy a testů,,Laboratory,space for human activity for performing analyses and tests,,,,,,,,,,laboratoř
,,BCA,Technická laboratoř,laboratoř pro technické analýzy,"chemická laboratoř, laboratoř akustiky",Technical laboratory,laboratory for technical analyses,,,,,,,,,,technická laboratoř
